Word;Negative;Positive
ABOLITIONISTS;0;0
ABOLITIONS;0;0
ABOMINABLE;0;0
ABOMINABLY;0;0
ABOMINATE;0;0
ABOMINATED;0;0
ABOMINATES;0;0
ABOMINATING;0;0
ABOMINATION;0;0
ABOMINATIONS;0;0
ABORIGINAL;0;0
ABORIGINALS;0;0
ABORIGINE;0;0
ABORIGINES;0;0
ABORNING;0;0
ABORT;0;0
ABORTED;0;0
ABORTING;0;0
ABORTION;0;0
ABORTIONIST;0;0
ABORTIONISTS;0;0
ABORTIONS;0;0
ABORTIVE;0;0
ABORTIVELY;0;0
ABORTS;0;0
ABOUND;0;0
ABOUNDED;0;0
ABOUNDING;0;0
ABOUNDS;0;0
ABOUT;0;0
ABOVE;0;0
ABOVEBOARD;0;0
ABOVEGROUND;0;0
ABOVEMENTIONED;0;0
ABOVES;0;0
ABRACADABRA;0;0
ABRACADABRAS;0;0
ABRADE;0;0
ABRADED;0;0
ABRADES;0;0
ABRADING;0;0
ABRASION;0;0
ABRASIONS;0;0
ABRASIVE;0;0
ABRASIVELY;0;0
ABRASIVENESS;0;0
ABRASIVENESSES;0;0
ABRASIVES;0;0
ABREAST;0;0
ABRIDGE;0;0
ABRIDGED;0;0
ABRIDGEMENT;0;0
ABRIDGEMENTS;0;0
ABRIDGES;0;0
ABRIDGING;0;0
ABRIDGMENT;0;0
ABRIDGMENTS;0;0
ABROAD;0;0
ABROGATE;2009;0
ABROGATED;2009;0
ABROGATES;2009;0
ABROGATING;2009;0
ABROGATION;2009;0
ABROGATIONS;2009;0
ABROGATOR;0;0
ABROGATORS;0;0
ABRUPT;2009;0
ABRUPTER;0;0
ABRUPTEST;0;0
ABRUPTLY;2009;0
ABRUPTNESS;2009;0
ABRUPTNESSES;0;0
ABS;0;0
ABSCESS;0;0
ABSCESSED;0;0
ABSCESSES;0;0
ABSCESSING;0;0
ABSCISSA;0;0
ABSCISSAE;0;0
ABSCISSAS;0;0
ABSCISSION;0;0
ABSCISSIONS;0;0
ABSCOND;0;0
ABSCONDED;0;0
ABSCONDER;0;0
ABSCONDERS;0;0
ABSCONDING;0;0
ABSCONDS;0;0
ABSEIL;0;0
ABSEILED;0;0
ABSEILING;0;0
ABSEILS;0;0
ABSENCE;2009;0
ABSENCES;2009;0
ABSENT;0;0
ABSENTED;0;0
ABSENTEE;0;0
ABSENTEEISM;2009;0
ABSENTEEISMS;0;0
ABSENTEES;0;0
ABSENTING;0;0
ABSENTLY;0;0
ABSENTMINDED;0;0
ABSENTMINDEDLY;0;0
ABSENTMINDEDNESS;0;0
ABSENTMINDEDNESSES;0;0
ABSENTS;0;0
ABSINTH;0;0
ABSINTHE;0;0
ABSINTHES;0;0
ABSINTHS;0;0
ABSOLUTE;0;0
ABSOLUTELY;0;0
ABSOLUTENESS;0;0
ABSOLUTENESSES;0;0
ABSOLUTES;0;0
ABSOLUTEST;0;0
ABSOLUTION;0;0
ABSOLUTIONS;0;0
ABSOLUTISM;0;0
ABSOLUTISMS;0;0
ABSOLUTIST;0;0
ABSOLUTISTS;0;0
ABSOLVE;0;0
ABSOLVED;0;0
ABSOLVES;0;0
ABSOLVING;0;0
ABSORB;0;0
ABSORBABLE;0;0
ABSORBED;0;0
ABSORBENCIES;0;0
ABSORBENCY;0;0
ABSORBENT;0;0
ABSORBENTS;0;0
ABSORBERS;0;0
ABSORBING;0;0
ABSORBINGLY;0;0
ABSORBS;0;0
ABSORPTION;0;0
ABSORPTIONS;0;0
ABSORPTIVE;0;0
ABSTAIN;0;0
ABSTAINED;0;0
ABSTAINER;0;0
ABSTAINERS;0;0
ABSTAINING;0;0
ABSTAINS;0;0
ABSTEMIOUS;0;0
ABSTEMIOUSLY;0;0
ABSTEMIOUSNESS;0;0
ABSTEMIOUSNESSES;0;0
ABSTENTION;0;0
ABSTENTIONS;0;0
ABSTINENCE;0;0
ABSTINENCES;0;0
ABSTINENT;0;0
ABSTRACT;0;0
ABSTRACTED;0;0
ABSTRACTEDLY;0;0
ABSTRACTEDNESS;0;0
ABSTRACTEDNESSES;0;0
ABSTRACTING;0;0
ABSTRACTION;0;0
ABSTRACTIONS;0;0
ABSTRACTLY;0;0
ABSTRACTNESS;0;0
ABSTRACTNESSES;0;0
ABSTRACTS;0;0
ABSTRUSE;0;0
ABSTRUSELY;0;0
ABSTRUSENESS;0;0
ABSTRUSENESSES;0;0
ABSURD;0;0
ABSURDER;0;0
ABSURDEST;0;0
ABSURDITIES;0;0
ABSURDITY;0;0
ABSURDLY;0;0
ABSURDNESS;0;0
ABSURDNESSES;0;0
ABUNDANCE;0;2009
ABUNDANCES;0;0
ABUNDANT;0;2009
ABUNDANTLY;0;0
ABUSE;2009;0
ABUSED;2009;0
ABUSER;0;0
ABUSERS;0;0
ABUSES;2009;0
ABUSING;2009;0
ABUSIVE;2009;0
ABUSIVELY;2009;0
ABUSIVENESS;2009;0
ABUSIVENESSES;0;0
ABUT;0;0
ABUTMENT;0;0
ABUTMENTS;0;0
ABUTS;0;0
ABUTTED;0;0
ABUTTING;0;0
ABUZZ;0;0
ABYSMAL;0;0
ABYSMALLY;0;0
ABYSS;0;0
ABYSSAL;0;0
ABYSSES;0;0
ACACIA;0;0
ACACIAS;0;0
ACADEME;0;0
ACADEMES;0;0
ACADEMIA;0;0
ACADEMIAS;0;0
ACADEMIC;0;0
ACADEMICALLY;0;0
ACADEMICIAN;0;0
ACADEMICIANS;0;0
ACADEMICS;0;0
ACADEMIES;0;0
ACADEMY;0;0
ACANTHI;0;0
ACANTHUS;0;0
ACANTHUSES;0;0
ACCEDE;0;0
ACCEDED;0;0
ACCEDES;0;0
ACCEDING;0;0
ACCELERATE;0;0
ACCELERATED;0;0
ACCELERATES;0;0
ACCELERATING;0;0
ACCELERATION;0;0
ACCELERATIONS;0;0
ACCELERATOR;0;0
ACCELERATORS;0;0
ACCELEROMETER;0;0
ACCENT;0;0
ACCENTED;0;0
ACCENTING;0;0
ACCENTS;0;0
ACCENTUAL;0;0
ACCENTUATE;0;0
ACCENTUATED;0;0
ACCENTUATES;0;0
ACCENTUATING;0;0
ACCENTUATION;0;0
ACCENTUATIONS;0;0
ACCEPT;0;0
ACCEPTABILITIES;0;0
ACCEPTABILITY;0;0
ACCEPTABLE;0;0
ACCEPTABLENESS;0;0
ACCEPTABLENESSES;0;0
ACCEPTABLY;0;0
ACCEPTANCE;0;0
ACCEPTANCES;0;0
ACCEPTATION;0;0
ACCEPTATIONS;0;0
ACCEPTED;0;0
ACCEPTING;0;0
ACCEPTOR;0;0
ACCEPTS;0;0
ACCESS;0;0
ACCESSED;0;0
ACCESSES;0;0
ACCESSIBILITIES;0;0
ACCESSIBILITY;0;0
ACCESSIBLE;0;0
ACCESSIBLY;0;0
ACCESSING;0;0
ACCESSION;0;0
ACCESSIONS;0;0
ACCESSORIES;0;0
ACCESSORIZE;0;0
ACCESSORY;0;0
ACCESSWAYS;0;0
ACCIDENT;2009;0
ACCIDENTAL;2009;0
ACCIDENTALLY;2009;0
ACCIDENTALS;0;0
ACCIDENTS;2009;0
ACCLAIM;0;0
ACCLAIMED;0;2009
ACCLAIMING;0;0
ACCLAIMS;0;0
ACCLAMATION;0;0
ACCLAMATIONS;0;0
ACCLIMATE;0;0
ACCLIMATED;0;0
ACCLIMATES;0;0
ACCLIMATING;0;0
ACCLIMATION;0;0
ACCLIMATIONS;0;0
ACCLIMATIZATION;0;0
ACCLIMATIZATIONS;0;0
ACCLIMATIZE;0;0
ACCLIMATIZED;0;0
ACCLIMATIZES;0;0
ACCLIMATIZING;0;0
ACCLIVITIES;0;0
ACCLIVITY;0;0
ACCOLADE;0;0
ACCOLADES;0;0
ACCOMMODATE;0;0
ACCOMMODATED;0;0
ACCOMMODATES;0;0
ACCOMMODATING;0;0
ACCOMMODATINGLY;0;0
ACCOMMODATION;0;0
ACCOMMODATIONS;0;0
ACCOMMODATIVE;0;0
ACCOMPANIED;0;0
ACCOMPANIES;0;0
ACCOMPANIMENT;0;0
ACCOMPANIMENTS;0;0
ACCOMPANIST;0;0
ACCOMPANISTS;0;0
ACCOMPANY;0;0
ACCOMPANYING;0;0
ACCOMPLICE;0;0
ACCOMPLICES;0;0
ACCOMPLISH;0;2009
ACCOMPLISHED;0;2009
ACCOMPLISHES;0;2009
ACCOMPLISHING;0;2009
ACCOMPLISHMENT;0;2009
ACCOMPLISHMENTS;0;2009
ACCORD;0;0
ACCORDANCE;0;0
ACCORDANCES;0;0
ACCORDANT;0;0
ACCORDED;0;0
ACCORDING;0;0
ACCORDINGLY;0;0
ACCORDION;0;0
ACCORDIONIST;0;0
ACCORDIONISTS;0;0
ACCORDIONS;0;0
ACCORDS;0;0
ACCOST;0;0
ACCOSTED;0;0
ACCOSTING;0;0
ACCOSTS;0;0
ACCOUNT;0;0
ACCOUNTABILITIES;0;0
ACCOUNTABILITY;0;0
ACCOUNTABLE;0;0
ACCOUNTANCIES;0;0
ACCOUNTANCY;0;0
ACCOUNTANT;0;0
ACCOUNTANTS;0;0
ACCOUNTED;0;0
ACCOUNTHOLDER;0;0
ACCOUNTHOLDERS;0;0
ACCOUNTING;0;0
ACCOUNTINGS;0;0
ACCOUNTS;0;0
ACCOUTER;0;0
ACCOUTERED;0;0
ACCOUTERING;0;0
ACCOUTERMENTS;0;0
ACCOUTERS;0;0
ACCOUTRE;0;0
ACCOUTRED;0;0
ACCOUTREMENTS;0;0
ACCOUTRES;0;0
ACCOUTRING;0;0
ACCREDIT;0;0
ACCREDITATION;0;0
ACCREDITATIONS;0;0
ACCREDITED;0;0
ACCREDITING;0;0
ACCREDITOR;0;0
ACCREDITORS;0;0
ACCREDITS;0;0
ACCRETABLE;0;0
ACCRETE;0;0
ACCRETED;0;0
ACCRETES;0;0
ACCRETING;0;0
ACCRETION;0;0
ACCRETIONARY;0;0
ACCRETIONS;0;0
ACCRETIVE;0;0
ACCRETIVELY;0;0
ACCRETIVENESS;0;0
ACCRUABLE;0;0
ACCRUAL;0;0
ACCRUALS;0;0
ACCRUE;0;0
ACCRUED;0;0
ACCRUES;0;0
ACCRUING;0;0
ACCULTURATE;0;0
ACCULTURATED;0;0
ACCULTURATES;0;0
ACCULTURATING;0;0
ACCULTURATION;0;0
ACCULTURATIONS;0;0
ACCUMULATE;0;0
ACCUMULATED;0;0
ACCUMULATES;0;0
ACCUMULATING;0;0
ACCUMULATION;0;0
ACCUMULATIONS;0;0
ACCUMULATIVE;0;0
ACCUMULATOR;0;0
ACCUMULATORS;0;0
ACCURACIES;0;0
ACCURACY;0;0
ACCURATE;0;0
ACCURATELY;0;0
ACCURATENESS;0;0
ACCURATENESSES;0;0
ACCURSED;0;0
ACCURSEDNESS;0;0
ACCURSEDNESSES;0;0
ACCURST;0;0
ACCUSATION;2009;0
ACCUSATIONS;2009;0
ACCUSATIVE;0;0
ACCUSATIVES;0;0
ACCUSATORY;0;0
ACCUSE;2009;0
ACCUSED;2009;0
ACCUSER;0;0
ACCUSERS;0;0
ACCUSES;2009;0
ACCUSING;2009;0
ACCUSINGLY;0;0
ACCUSTOM;0;0
ACCUSTOMED;0;0
ACCUSTOMING;0;0
ACCUSTOMS;0;0
ACE;0;0
ACED;0;0
ACERBATE;0;0
ACERBATED;0;0
ACERBATES;0;0
ACERBATING;0;0
ACERBIC;0;0
ACERBICALLY;0;0
ACERBITIES;0;0
ACERBITY;0;0
ACES;0;0
ACETAMINOPHEN;0;0
ACETAMINOPHENS;0;0
ACETATE;0;0
ACETATES;0;0
ACETIC;0;0
ACETONE;0;0
ACETONES;0;0
ACETONIC;0;0
ACETYLENE;0;0
ACETYLENES;0;0
ACHE;0;0
ACHED;0;0
ACHENE;0;0
ACHENES;0;0
ACHES;0;0
ACHIER;0;0
ACHIEST;0;0
ACHIEVABILITY;0;0
ACHIEVABLE;0;0
ACHIEVE;0;2009
ACHIEVED;0;2009
ACHIEVEMENT;0;2009
ACHIEVEMENTS;0;2009
ACHIEVER;0;0
ACHIEVERS;0;0
ACHIEVES;0;2009
ACHIEVING;0;2009
ACHING;0;0
ACHOO;0;0
ACHOOS;0;0
ACHROMATIC;0;0
ACHY;0;0
ACID;0;0
ACIDIC;0;0
ACIDIFIED;0;0
ACIDIFIES;0;0
ACIDIFY;0;0
ACIDIFYING;0;0
ACIDITIES;0;0
ACIDITY;0;0
ACIDLY;0;0
ACIDOSES;0;0
ACIDOSIS;0;0
ACIDS;0;0
ACIDULOUS;0;0
ACING;0;0
ACKNOWLEDGE;0;0
ACKNOWLEDGED;0;0
ACKNOWLEDGEMENT;0;0
ACKNOWLEDGEMENTS;0;0
ACKNOWLEDGES;0;0
ACKNOWLEDGING;0;0
ACKNOWLEDGMENT;0;0
ACKNOWLEDGMENTS;0;0
ACME;0;0
ACMES;0;0
ACNE;0;0
ACNES;0;0
ACOLYTE;0;0
ACOLYTES;0;0
ACONITE;0;0
ACONITES;0;0
ACORN;0;0
ACORNS;0;0
ACOUSTIC;0;0
ACOUSTICAL;0;0
ACOUSTICALLY;0;0
ACOUSTICS;0;0
ACQUAINT;0;0
ACQUAINTANCE;0;0
ACQUAINTANCES;0;0
ACQUAINTANCESHIP;0;0
ACQUAINTANCESHIPS;0;0
ACQUAINTED;0;0
ACQUAINTING;0;0
ACQUAINTS;0;0
ACQUIESCE;2009;0
ACQUIESCED;2009;0
ACQUIESCENCE;0;0
ACQUIESCENCES;0;0
ACQUIESCENT;0;0
ACQUIESCENTLY;0;0
ACQUIESCES;2009;0
ACQUIESCING;2009;0
ACQUIRABLE;0;0
ACQUIRE;0;0
ACQUIRED;0;0
ACQUIREE;0;0
ACQUIREES;0;0
ACQUIREMENT;0;0
ACQUIREMENTS;0;0
ACQUIRER;0;0
ACQUIRERS;0;0
ACQUIRES;0;0
ACQUIRING;0;0
ACQUIROR;0;0
ACQUIRORS;0;0
ACQUISITION;0;0
ACQUISITIONS;0;0
ACQUISITIVE;0;0
ACQUISITIVELY;0;0
ACQUISITIVENESS;0;0
ACQUISITIVENESSES;0;0
ACQUIT;2009;0
ACQUITS;2009;0
ACQUITTAL;2009;0
ACQUITTALS;2009;0
ACQUITTANCE;0;0
ACQUITTANCES;0;0
ACQUITTED;2009;0
ACQUITTING;2009;0
ACRE;0;0
ACREAGE;0;0
ACREAGES;0;0
ACRES;0;0
ACRID;0;0
ACRIDER;0;0
ACRIDEST;0;0
ACRIDITIES;0;0
ACRIDITY;0;0
ACRIDLY;0;0
ACRIDNESS;0;0
ACRIDNESSES;0;0
ACRIMONIES;0;0
ACRIMONIOUS;0;0
ACRIMONIOUSLY;0;0
ACRIMONIOUSNESS;0;0
ACRIMONIOUSNESSES;0;0
ACRIMONY;0;0
ACROBAT;0;0
ACROBATIC;0;0
ACROBATICALLY;0;0
ACROBATICS;0;0
ACROBATS;0;0
ACRONYM;0;0
ACRONYMS;0;0
ACROPHOBIA;0;0
ACROPHOBIAS;0;0
ACROPOLIS;0;0
ACROPOLISES;0;0
ACROSS;0;0
ACROSTIC;0;0
ACROSTICS;0;0
ACRYLIC;0;0
ACRYLICS;0;0
ACT;0;0
ACTED;0;0
ACTING;0;0
ACTINGS;0;0
ACTINIUM;0;0
ACTINIUMS;0;0
ACTION;0;0
ACTIONABLE;0;0
ACTIONS;0;0
ACTIVATE;0;0
ACTIVATED;0;0
ACTIVATES;0;0
ACTIVATING;0;0
ACTIVATION;0;0
ACTIVATIONS;0;0
ACTIVATOR;0;0
ACTIVATORS;0;0
ACTIVE;0;0
ACTIVELY;0;0
ACTIVENESS;0;0
ACTIVENESSES;0;0
ACTIVES;0;0
ACTIVEWEAR;0;0
ACTIVISM;0;0
ACTIVISMS;0;0
ACTIVIST;0;0
ACTIVISTS;0;0
ACTIVITIES;0;0
ACTIVITY;0;0
ACTOR;0;0
ACTORS;0;0
ACTRESS;0;0
ACTRESSES;0;0
ACTS;0;0
ACTUAL;0;0
ACTUALITIES;0;0
ACTUALITY;0;0
ACTUALIZATION;0;0
ACTUALIZATIONS;0;0
ACTUALIZE;0;0
ACTUALIZED;0;0
ACTUALIZES;0;0
ACTUALIZING;0;0
ACTUALLY;0;0
ACTUALS;0;0
ACTUARIAL;0;0
ACTUARIALLY;0;0
ACTUARIES;0;0
ACTUARY;0;0
ACTUATE;0;0
ACTUATED;0;0
ACTUATES;0;0
ACTUATING;0;0
ACTUATION;0;0
ACTUATIONS;0;0
ACTUATOR;0;0
ACTUATORS;0;0
ACUITIES;0;0
ACUITY;0;0
ACUMEN;0;0
ACUMENS;0;0
ACUPRESSURE;0;0
ACUPRESSURES;0;0
ACUPUNCTURE;0;0
ACUPUNCTURES;0;0
ACUPUNCTURIST;0;0
ACUPUNCTURISTS;0;0
ACUTE;0;0
ACUTELY;0;0
ACUTENESS;0;0
ACUTENESSES;0;0
ACUTER;0;0
ACUTES;0;0
ACUTEST;0;0
ACYCLOVIR;0;0
ACYCLOVIRS;0;0
AD;0;0
ADAGE;0;0
ADAGES;0;0
ADAGIO;0;0
ADAGIOS;0;0
ADAMANT;0;0
ADAMANTLY;0;0
ADAMANTS;0;0
ADAPT;0;0
ADAPTABILITIES;0;0
ADAPTABILITY;0;0
ADAPTABLE;0;0
ADAPTATION;0;0
ADAPTATIONS;0;0
ADAPTED;0;0
ADAPTER;0;0
ADAPTERS;0;0
ADAPTING;0;0
ADAPTION;0;0
ADAPTIVE;0;0
ADAPTOR;0;0
ADAPTORS;0;0
ADAPTS;0;0
ADD;0;0
ADDABLE;0;0
ADDBACK;0;0
ADDED;0;0
ADDEND;0;0
ADDENDA;0;0
ADDENDS;0;0
ADDENDUM;0;0
ADDENDUMS;0;0
ADDER;0;0
ADDERS;0;0
ADDIBLE;0;0
ADDICT;0;0
ADDICTED;0;0
ADDICTING;0;0
ADDICTION;0;0
ADDICTIONS;0;0
ADDICTIVE;0;0
ADDICTS;0;0
ADDING;0;0
ADDITION;0;0
ADDITIONAL;0;0
ADDITIONALLY;0;0
ADDITIONS;0;0
ADDITIVE;0;0
ADDITIVES;0;0
ADDLE;0;0
ADDLED;0;0
ADDLES;0;0
ADDLING;0;0
ADDRESS;0;0
ADDRESSABLE;0;0
ADDRESSED;0;0
ADDRESSEE;0;0
ADDRESSEES;0;0
ADDRESSES;0;0
ADDRESSING;0;0
ADDRESSOR;0;0
ADDS;0;0
ADDUCE;0;0
ADDUCED;0;0
ADDUCES;0;0
ADDUCING;0;0
ADENINE;0;0
ADENINES;0;0
ADENOID;0;0
ADENOIDAL;0;0
ADENOIDS;0;0
ADEPT;0;0
ADEPTLY;0;0
ADEPTNESS;0;0
ADEPTNESSES;0;0
ADEPTS;0;0
ADEQUACIES;0;0
ADEQUACY;0;0
ADEQUATE;0;0
ADEQUATELY;0;2009
ADEQUATENESS;0;0
ADEQUATENESSES;0;0
ADHERE;0;0
ADHERED;0;0
ADHERENCE;0;0
ADHERENCES;0;0
ADHERENT;0;0
ADHERENTS;0;0
ADHERES;0;0
ADHERING;0;0
ADHESION;0;0
ADHESIONS;0;0
ADHESIVE;0;0
ADHESIVENESS;0;0
ADHESIVENESSES;0;0
ADHESIVES;0;0
ADIEU;0;0
ADIEUS;0;0
ADIEUX;0;0
ADIOS;0;0
ADIPOSE;0;0
ADJACENCIES;0;0
ADJACENCY;0;0
ADJACENT;0;0
ADJACENTLY;0;0
ADJECTIVAL;0;0
ADJECTIVALLY;0;0
ADJECTIVE;0;0
ADJECTIVES;0;0
ADJOIN;0;0
ADJOINED;0;0
ADJOINING;0;0
ADJOINS;0;0
ADJOURN;0;0
ADJOURNED;0;0
ADJOURNING;0;0
ADJOURNMENT;0;0
ADJOURNMENTS;0;0
ADJOURNS;0;0
ADJUDGE;0;0
ADJUDGED;0;0
ADJUDGES;0;0
ADJUDGING;0;0
ADJUDICATE;0;0
ADJUDICATED;0;0
ADJUDICATES;0;0
ADJUDICATING;0;0
ADJUDICATION;0;0
ADJUDICATIONS;0;0
ADJUDICATIVE;0;0
ADJUDICATOR;0;0
ADJUDICATORS;0;0
ADJUDICATORY;0;0
ADJUNCT;0;0
ADJUNCTIVE;0;0
ADJUNCTS;0;0
ADJURATION;0;0
ADJURATIONS;0;0
ADJURE;0;0
ADJURED;0;0
ADJURES;0;0
ADJURING;0;0
ADJUST;0;0
ADJUSTABILITY;0;0
ADJUSTABLE;0;0
ADJUSTED;0;0
ADJUSTER;0;0
ADJUSTERS;0;0
ADJUSTING;0;0
ADJUSTMENT;0;0
ADJUSTMENTS;0;0
ADJUSTOR;0;0
ADJUSTORS;0;0
ADJUSTS;0;0
ADJUTANT;0;0
ADJUTANTS;0;0
ADJUVANT;0;0
ADMAN;0;0
ADMEN;0;0
ADMINISTER;0;0
ADMINISTERED;0;0
ADMINISTERING;0;0
ADMINISTERS;0;0
ADMINISTRATE;0;0
ADMINISTRATED;0;0
ADMINISTRATES;0;0
ADMINISTRATING;0;0
ADMINISTRATION;0;0
ADMINISTRATIONS;0;0
ADMINISTRATIVE;0;0
ADMINISTRATIVELY;0;0
ADMINISTRATOR;0;0
ADMINISTRATORS;0;0
ADMIRABLE;0;0
ADMIRABLY;0;0
ADMIRAL;0;0
ADMIRALS;0;0
ADMIRALTIES;0;0
ADMIRALTY;0;0
ADMIRATION;0;0
ADMIRATIONS;0;0
ADMIRE;0;0
ADMIRED;0;0
ADMIRER;0;0
ADMIRERS;0;0
ADMIRES;0;0
ADMIRING;0;0
ADMIRINGLY;0;0
ADMISSIBILITIES;0;0
ADMISSIBILITY;0;0
ADMISSIBLE;0;0
ADMISSIBLY;0;0
ADMISSION;0;0
ADMISSIONS;0;0
ADMIT;0;0
ADMITS;0;0
ADMITTANCE;0;0
ADMITTANCES;0;0
ADMITTED;0;0
ADMITTEDLY;0;0
ADMITTING;0;0
ADMIX;0;0
ADMIXED;0;0
ADMIXES;0;0
ADMIXING;0;0
ADMIXTURE;0;0
ADMIXTURES;0;0
ADMONISH;0;0
ADMONISHED;0;0
ADMONISHES;0;0
ADMONISHING;0;0
ADMONISHMENT;0;0
ADMONISHMENTS;0;0
ADMONITION;0;0
ADMONITIONS;0;0
ADMONITORY;0;0
ADO;0;0
ADOBE;0;0
ADOBES;0;0
ADOLESCENCE;0;0
ADOLESCENCES;0;0
ADOLESCENT;0;0
ADOLESCENTS;0;0
ADOPT;0;0
ADOPTABLE;0;0
ADOPTED;0;0
ADOPTER;0;0
ADOPTERS;0;0
ADOPTING;0;0
ADOPTION;0;0
ADOPTIONS;0;0
ADOPTIVE;0;0
ADOPTS;0;0
ADORABLE;0;0
ADORABLENESS;0;0
ADORABLENESSES;0;0
ADORABLY;0;0
ADORATION;0;0
ADORATIONS;0;0
ADORE;0;0
ADORED;0;0
ADORER;0;0
ADORERS;0;0
ADORES;0;0
ADORING;0;0
ADORINGLY;0;0
ADORN;0;0
ADORNED;0;0
ADORNING;0;0
ADORNMENT;0;0
ADORNMENTS;0;0
ADORNS;0;0
ADOS;0;0
ADRENAL;0;0
ADRENALIN;0;0
ADRENALINE;0;0
ADRENALINES;0;0
ADRENALINS;0;0
ADRENALS;0;0
ADRIFT;0;0
ADROIT;0;0
ADROITLY;0;0
ADROITNESS;0;0
ADROITNESSES;0;0
ADS;0;0
ADSORB;0;0
ADSORBED;0;0
ADSORBENT;0;0
ADSORBENTS;0;0
ADSORBING;0;0
ADSORBS;0;0
ADSORPTION;0;0
ADSORPTIONS;0;0
ADULATE;0;0
ADULATED;0;0
ADULATES;0;0
ADULATING;0;0
ADULATION;0;0
ADULATIONS;0;0
ADULATOR;0;0
ADULATORS;0;0
ADULATORY;0;0
ADULT;0;0
ADULTERANT;0;0
ADULTERANTS;0;0
ADULTERATE;2009;0
ADULTERATED;2009;0
ADULTERATES;0;0
ADULTERATING;2009;0
ADULTERATION;2009;0
ADULTERATIONS;2009;0
ADULTERER;0;0
ADULTERERS;0;0
ADULTERESS;0;0
ADULTERESSES;0;0
ADULTERIES;0;0
ADULTEROUS;0;0
ADULTERY;0;0
ADULTHOOD;0;0
ADULTHOODS;0;0
ADULTS;0;0
ADUMBRATE;0;0
ADUMBRATED;0;0
ADUMBRATES;0;0
ADUMBRATING;0;0
ADUMBRATION;0;0
ADUMBRATIONS;0;0
ADVANCE;0;0
ADVANCED;0;0
ADVANCEMENT;0;2009
ADVANCEMENTS;0;2009
