word;polarity;Retranslation
use of office;1;utilisation de bureau
digital footprint;1;empreintes digitales
Forward;1;Vers l’avant
duplicate;1;deux exemplaires
in Ecstasy;1;dans l’extase
Ivory;1;Ivoire
Gold;1;Or
in full;1;dans son intégralité
bidder;1;soumissionnaire
sleep;1;sommeil
coat;1;manteau
hire;1;Location
investigator;1;enquêteur
agreement;1;accord
integer;1;nombre entier
spirited;1;fougueux
coach;1;autocar
matchmaker;1;marieur
about: surroundings;1;sujet : environnement
send;1;Envoyer
grocer;1;épicier
wife;1;femme
equivalent;1;équivalent
species;1;espèces
mischievous;1;espiègle
estimable;1;estimable
step;1;étape
Lord;1;Seigneur
wonder;1;me demande
being an apprentice;1;être apprenti
hug;1;câlin
embrace;1;étreinte
student;1;Student
evocative;1;évocateur
examiner;1;examinateur
exceptional;1;exceptionnel
excursion;1;excursion
excuse;1;excuse
excuse me;1;Excusez-moi
executor;1;exécuteur testamentaire
comprehensive;1;complet
exist;1;Il existe
existence;1;existence
experimenter;1;expérimentateur
experiment;1;Experiment
expert;1;expert
expertise;1;expertise
explanatory;1;exposé des motifs
manufacturer;1;Référence du fabricant
manufacture;1;fabrication
easy;1;facile
Optional;1;En option
shopping;1;Shopping
take a NAP;1;faire une sieste
feasible;1;faisable
family;1;famille
fanatic;1;fanatique
leprechaun;1;farfadet
favourable;1;favorable
fruitful;1;fructueuse
female;1;femelle
farmer;1;agriculteur
clasp;1;fermoir
Avid;1;Avid
fervor;1;ferveur
Feast;1;Fête
festive;1;festive
felting;1;le feutrage
faithful;1;fidèles
proud;1;fier
figurative;1;figuratif
flattering;1;flatteur
crazy: overjoyed;1;fou : joie
go-getter;1;fonceur
functional;1;fonctionnels
founder;1;fondateur
necessarily;1;nécessairement
formative;1;formative
Trainer;1;Formateur
form;1;formulaire
Fort;1;Fort
Fortress;1;Forteresse
Van;1;Van
franc;1;franc
fraternal;1;fraternelle
successful;1;réussie
fruit of the imagination;1;fruit de l’imagination
winner;1;vainqueur
gain;1;gain
Kid;1;Kid
guarantor;1;garant
guardian;1;tuteur
twittering;1;gazouillis
gem;1;GEM
generalize;1;généraliser
generator: generator;1;générateur : générateur
generous;1;généreux
kind;1;genre
John;1;John
icing;1;givrage
as a whole;1;dans son ensemble
Glume;1;Glume
pod;1;Pod
graceful;1;gracieuse
gradual;1;progressive
grain;1;grain
large room;1;grande salle
engraver;1;graveur
curable;1;DURCISSABLE
capita;1;habitant
coat;1;manteau
used;1;utilisé
usual;1;habituel
harmonious;1;harmonieux
legacy;1;héritage
happy;1;heureux
historian;1;historien
outstanding;1;en circulation
fireproof;1;résistant au feu
unlimited;1;illimité
illustrates;1;illustre
imaginative | imaginative;1;imaginatifs | imaginatif
Immaculate;1;Immaculé
huge;1;énorme
immortal: immortal;1;immortel : immortel
include;1;inclure
incomparable;1;incomparable
indication;1;indication
area code;1;indicatif régional
the fishing industry;1;l’industrie de la pêche
industrious;1;industrieux
unwavering;1;inébranlable
informant;1;informateur
ingenious;1;ingénieux
initiator;1;initiateur
initiate;1;initier
innocent;1;innocent
harmless;1;inoffensifs
Inspector;1;Inspecteur
instinctive;1;instinctive
informative;1;informative
instructor;1;instructeur
instruct;1;demander à
intellectual;1;intellectuelle
interviewer;1;intervieweur
respondent;1;intimé
introductory;1;Introduction
introspective;1;introspective
intuitive;1;intuitive
invariable;1;invariable
inventive;1;activité inventive
inventor;1;inventeur
investigator;1;enquêteur
iterative;1;itératif
Once;1;Fois
game of chance;1;jeu de hasard
jeweler;1;bijoutier
jovial;1;jovial
Merry;1;Joyeux
joyfully;1;avec joie
wise;1;sage
twin;1;lits jumeaux
the most intimate;1;les plus intimes
the most secret;1;les plus secrets
laineur: woolly;1;laineur : laineux
dairy;1;produits laitiers
Milky;1;Laiteux
Blade;1;Lame
slat;1;lamelle
lateral;1;latérale
winner;1;vainqueur
light;1;lumière
Legislative;1;Législatif
legislator;1;législateur
Liberal;1;Libéral
libidinous;1;libidineux
Woody;1;Ligneuses
adjacent;1;adjacentes
baby bed;1;lit bébé
bed cage;1;cage de lit
phrase;1;membre de phrase
speaker;1;haut-parleur
housing;1;logement
long;1;long
commendable;1;louable
loyal;1;fidèle
loyalty;1;fidélité
lucrative;1;lucrative
bright;1;brillant
Polish;1;Polonais
luxury;1;luxe
magician;1;magicien
magnitude;1;grandeur
Master's degree;1;Diplôme de maîtrise
Majesty;1;Majesté
Majestic;1;Majestic
malleable;1;malléable
handy;1;portée de main
protester;1;manifestant
Manifesto;1;Manifeste
Manual;1;Manuelle
Merchant;1;Marchand
Merchant of fruit and vegetable;1;Marchand de fruits et légumes
Walker;1;Walker
matchmaker;1;marieur
masculinity;1;masculinité
mattress;1;matelas
quilting;1;quilting
material;1;matériel
maternal;1;maternelle
mathematician;1;mathématicien
maximum;1;maximale
mechanic;1;mécanicien
mechanism;1;mécanisme de
mediator: mediator;1;Médiateur : médiateur
Mediterranean;1;Méditerranée
mix;1;mélanger
melodious;1;mélodieux
menstrual;1;cycle menstruel
menu;1;menu
earn;1;Gagnez
wonderful;1;merveilleux
Messenger;1;Messager
business;1;entreprise
conditional release;1;libération conditionnelle
Ministerial;1;Ministérielle
tiny;1;minuscule
meticulous;1;méticuleuse
miraculous;1;miraculeuse
merciful;1;Miséricordieux
model;1;modèle
Moderator;1;Modérateur
moderate;1;modérée
modest;1;modeste
Mountain;1;Montagne
Mount;1;Mont
movement;1;mouvement
average;1;moyenne
musician;1;musicien
mutual;1;mutuelle
Narrator;1;Narrateur
browser;1;Navigateur
trader;1;Trader
negotiator;1;négociateur
snowy;1;neigeux
nervous;1;nerveux
NET;1;NET
nominated;1;nominé
name;1;nom
no force;1;aucune force
No stain;1;Aucune tache
nonchalantly;1;nonchalamment
nun;1;nonne
normative;1;normative
notoriety;1;notoriété
new;1;Nouveau
newcomer | come;1;nouveau venu | Venez
nutritious;1;nutritifs
goal;1;objectif
mandatory;1;obligatoire
Observer;1;Observateur
obstetrician;1;obstétricien
opportunity;1;occasion
casual;1;Casual
occupant;1;occupant
smell;1;odeur
officiant;1;célébrant
oiliness;1;onctuosité
ointment;1;pommade
operational;1;opérationnelles
operator;1;opérateur
timely;1;en temps opportun
Optional;1;En option
speaker;1;haut-parleur
Organization;1;Organisation
Organizer;1;Organisateur
Ottoman: Ottoman;1;Ottoman : Ottoman
worker;1;travailleur
Palisade;1;Palissade
package;1;paquet
Interim;1;Intérimaire
amongst;1;Parmi les
share;1;Partager
particle;1;particule
supporter;1;partisan
passenger;1;passager
lozenge;1;losange
old man;1;vieil homme
boss: boss;1;patron : patron
payer;1;donneur d’ordre
During this time;1;Pendant ce temps
closet;1;placard
thinker;1;penseur
thoughtful;1;réfléchie
father;1;père
Permanent;1;Permanente
allow;1;permettre à
permissive;1;permissive
perpetual;1;Perpetual
persist;1;persistent
No probe;1;Pas de sonde
insightful;1;perspicace
persuasive;1;persuasive
relevant;1;pertinentes
Twinkle;1;Twinkle
pharmacist;1;votre pharmacien
phenomenal;1;phénoménal
Photo;1;Photo
photocopy;1;photocopie
physicist;1;physicien
Physics;1;Physique
pedestrian;1;piétonne
piles;1;pieux
Dovecote;1;Colombier
Pioneer;1;Pionnier
pleasant;1;agréable
middle of summer;1;milieu de l’été
foldable;1;pliable
dive;1;plongée
Diver;1;Plongeur
plural;1;du pluriel
cooler;1;glacière
largest;1;plus grand
Higher;1;Plus élevé
drier;1;plus sèches
heavy weight;1;poids lourd
Tip;1;Astuce
Polish;1;Polonais
Police;1;Police
police officer;1;agent de police
politeness;1;politesse
one-time;1;non récurrents
carrier;1;transporteur
potential;1;potentiel
pragmatics;1;pragmatique
practitioner;1;praticien
practice;1;pratique
precious;1;précieux
preferential;1;préférentiel
preliminary;1;préliminaires
first;1;première
first born;1;tout d’abord né
taker;1;preneur de
prepare;1;préparer
preserve;1;préserver
President;1;Président
lender;1;prêteur
preventive;1;préventive
primary;1;primaire
princely;1;princière
Spring;1;Printemps
prodigious;1;prodigieuse
productive;1;productives
producer;1;producteur
prominence;1;proéminence
prominent;1;éminent
Professorship;1;Poste de professeur
Programmer;1;Programmeur
progressive;1;progressive
Walker;1;Walker
promising;1;prometteur
promotional;1;promotionnels
promoter;1;promoteur
prophetess;1;prophétesse
proportional;1;proportionnelle
properly;1;correctement
Protector;1;Protector
Protestant;1;Protestant
proximity;1;proximité
carefully;1;soigneusement
sweater;1;Pull
pure;1;pure
purgative;1;purgatif
putative;1;putatif
qualifying;1;phase de qualification
qualifier;1;qualificateur
quantitative;1;quantitatives
almost;1;presque
that start;1;qui commencent
which resonate;1;qui résonnent
race;1;course
spinal;1;la colonne vertébrale
Radiant;1;Radiant
refine;1;J’affine ma sélection
Refresh;1;Actualisation
hiker;1;randonneur
rational;1;Rational
refuelling;1;ravitaillement en vol
radiating;1;rayonnant
radiation;1;rayonnement
reagent;1;réactif
achievable;1;réalisable
redevelopment;1;redéveloppement
Summary;1;Résumé
recently;1;récemment
receptive;1;réceptif
receive;1;recevoir
recoverable;1;récupérables
recreational;1;récréatives
collection;1;collection
editorial;1;éditorial
Editor in Chief;1;Rédacteur en chef
reflect;1;tenir compte de
reformer;1;réformateur
Regal;1;Regal
Regent;1;Regent
setting;1;réglage
rules of procedure;1;règles de procédure
regular;1;régulière
release;1;Communiqué de
relative;1;relative
remarkable;1;remarquable
remunerative;1;rémunérateurs
Rename;1;Changement de nom
repairman;1;réparateur
distribute;1;distribuer
respite;1;répit
representative;1;représentant
representative;1;représentant
Player: reproductive;1;Joueur : reproduction
Republican;1;Républicain
resident;1;résident
resistant;1;résistant à la
respective;1;respectifs
eco-friendly;1;respectueux de l’environnement
shine;1;Shine
retirement;1;retraite
reprocess;1;retraiter
retroactive;1;avec effet rétroactif
meeting;1;réunion
succeed;1;réussir
Developer;1;Développeur
reverent;1;révérencieux
dreamer;1;rêveur
ritual;1;rituel
Rotary;1;Rotary
backpacker;1;Routard
national road;1;route nationale
Brook;1;Brook
sagacity;1;sagacité
safe and sound;1;sain et sauf
Saint;1;Saint
saloon;1;Saloon
blood;1;sang
constantly;1;constamment
without equal;1;sans égal
unhindered;1;sans entrave
without end;1;sans fin
without history;1;sans histoire
without opposition;1;sans opposition
meet;1;répondre à
Scholar;1;Érudit
tasty;1;savoureux
scrupulous;1;scrupuleux
sculptor;1;sculpteur
Remember;1;N’oubliez pas
Select;1;Sélectionnez
similar;1;similaires
perennial;1;plante vivace
sensational;1;sensationnel
sensitive;1;sensibles
sensory;1;sensorielle
sensual;1;sensuelle
scent;1;parfum
Trail;1;Sentier
sentimental;1;sentimental
serene;1;serein
Are you serious;1;T'es sérieux
oath;1;serment
sign;1;signe
simple;1;simple
sincerity;1;sincérité
singular;1;du singulier
sloop;1;sloop
SMS;1;SMS
solidify;1;solidifier
Summit;1;Summit
sumptuous;1;somptueux
probe;1;sonde
pensive;1;songeur
Beau;1;Beau
flexible;1;flexible
flexibility;1;flexibilité
Tender Sub;1;Void tendre
sovereign;1;souverain
silky;1;soyeux
spacious;1;spacieux
Viewer;1;Spectateur
spiritual;1;spirituelle
spontaneous;1;spontanée
sportsman;1;Sportsman
Statistician;1;Statisticien
store;1;magasin
stratum;1;strate
structural;1;structurels
substantial;1;substantielles
noun;1;substantif
subtlety;1;subtilité
successive;1;successifs
suggestive;1;suggestive
Suite;1;Suite
Pinnacle;1;Pinnacle
superior;1;Superior
supplication;1;supplication
supporter;1;partisan
assumption;1;prise en charge
float;1;flotteur
supervisor;1;superviseur
generate;1;générer des
Sweatshirt;1;Sweat-shirt
talented;1;talentueux
teasing;1;teasing
technician;1;technicien
temporal;1;temporelle
tenacious;1;tenace
trend;1;tendance
complete;1;toutes les
land;1;Terre
theologian;1;théologien
shoot;1;Shoot
weaving;1;tissage
tolerance;1;tolérance
touching;1;toucher
turn;1;tour
all powerful;1;toute puissante
all the two week;1;toutes les deux semaines
transaction;1;transaction
transitive;1;transitive
worker: a worker;1;travailleur : un ouvrier
to Ford;1;pour Ford
Treasurer;1;Trésorier
Triple;1;Triple
Troubadour;1;Troubadour
find;1;trouver
Guardian: guardian;1;Tuteur : gardien
ultimate;1;ultime
ultraviolet;1;ultraviolet
a faith: twice a week;1;une foi : deux fois par semaine
consistency;1;cohérence
Universal;1;Universal
valiant;1;Valiant
wispy;1;vaporeux
vegetarian;1;végétarien
velutinous;1;vélutineuse
seller;1;vendeur
Ventricular;1;Ventriculaire
verbose;1;verbeux
Auditor: auditor;1;Vérificateur : vérificateur
real;1;Real
varnish;1;vernis
payment;1;paiement
virtuous;1;vertueux
clothing;1;vêtements
victorious;1;victorieux
vigorous;1;vigoureux
villagers;1;villageois
Violet: violet;1;Violet : violet
visitor;1;visiteur
Visual;1;Visual
glazing;1;vitrage
v? u;1;v ? u
neighbor;1;voisin
voluptuous;1;voluptueuse
Traveler;1;Voyageur
light;1;lumière
Yay;1;Yay
maternal school;1;école maternelle
a faith | time all two me | month;1;une foi | tous les deux temps moi | mois
@card @ kilo;1;@card @ kilo
at base of plant;1;à base de plante
on board;1;à bord
Hoodie;1;Chandail à capuchon
to tile;1;pour disposer en mosaïque
provided that;1;à condition que
bareback;1;Bareback
on purpose;1;sur le but
destination of;1;destination de
to sheet;1;à la feuille
flower;1;fleur
galore;1;gogo
by dint of sth;1;a force de qch
strong chest;1;forte poitrine
curling;1;curling
at regular intervals;1;à intervalles réguliers
forever;1;pour toujours
rightly;1;à juste titre
abroad;1;à l’étranger
unanimously;1;à l’unanimité
the good franquette;1;la bonne franquette
the Mint;1;la menthe
have the mode;1;a la mode
mode;1;mode
the retired;1;les retraités
half-way;1;à mi-chemin
unborn;1;à naître
again;1;encore une fois
to dock;1;à quai
on his own;1;de son propre chef
to spiral: spiral;1;à spirale : spirale
to success;1;de la réussite
theme;1;Thème
forever;1;pour toujours
all test;1;tous les tests
starboard;1;tribord
to come;1;à venir
to life;1;à la vie
truth be told;1;à vrai dire
abdomen;1;abdomen
abdominal;1;abdominale
abound;1;abondent
abundant;1;abondante
subscription;1;abonnement
address;1;adresse
aborigine;1;aborigène
lead;1;plomb
shorten;1;raccourcir
water trough;1;bac à eau
abbreviation;1;abréviation
shelter;1;abri
absolve;1;absoudre
absolution;1;absolution
absorbing;1;absorbant
absorption;1;absorption
Abstract;1;Résumé
Academy;1;Académie
academic;1;académique
accalmir;1;accalmir
access;1;accès
Acceleration;1;Accélération
emphasis;1;accent
accentuate;1;accentuer
accepting;1;acceptant
acceptance;1;acceptation
accept;1;accepter
access;1;accès
accessible;1;accessible
accession;1;adhésion
acclamation;1;acclamation
Cheer;1;Cheer
brace;1;croisillon
accommodate;1;accueillir
accommodation;1;Hébergement
accompany;1;accompagner
support;1;prise en charge
accomplish;1;accomplir
fulfillment;1;Fulfillment
tunable;1;accordable
grant;1;Grant
accordion;1;accordéon
agreement;1;accord
accustom;1;habituer les
accredit;1;accréditer
increase;1;augmentation
increase;1;augmentation
believe;1;croire
believe: increase;1;croire : augmenter
Home;1;Accueil
Welcome;1;Bienvenue
accumulate;1;s’accumulent
purchase;1;achat
route hose;1;Itinéraire flexible
transport by air lift;1;le transport par air comprimé
buy;1;acheter
complete;1;toutes les
completion;1;fin
steel;1;en acier
deposit;1;dépôt
acoustics;1;acoustique
buyer;1;acheteur
acquire;1;acquérir
acquiescence;1;acquiescement
Acrobat;1;Acrobat
Act;1;Loi sur les
assets;1;éléments d’actif
action;1;action
Thanksgiving;1;Action de grâces
shareholder;1;actionnaire
activity;1;activité
actuary;1;actuaire
News;1;Nouvelles
acuity;1;acuité
acupuncture;1;acupuncture
adage;1;adage
adaptability;1;capacité d’adaptation
adaptable;1;adaptable
adaptation;1;adaptation
adapt;1;s’adapter
Addendum;1;Additif
Add;1;Ajouter
additional;1;supplémentaires
adept;1;Adept
adequate;1;adéquate
adequacy;1;caractère adéquat
join;1;Join
grip;1;Grip
Member;1;Membres
join;1;Join
membership;1;adhésion
adjacent;1;adjacentes
adjective;1;adjectif
Digitus;1;Digitus
Add;1;Ajouter
adjuvant;1;adjuvant
admit;1;admettre
administer;1;administrer
give sth to SB;1;donner sth to SB
admirable;1;admirable
admiration;1;admiration
admire;1;admirer
eligibility;1;admissibilité
admission;1;admission
Adobe;1;Adobe
teens;1;ados
adopt;1;adopter
adoption;1;adoption
adorable;1;adorable
worship;1;adoration
love;1;amour
teenager: teens;1;adolescent : ados
lean back;1;Détendez-vous
soften;1;adoucir
softening;1;ramollissement
softening;1;ramollissement
address;1;adresse
address;1;adresse
adroit;1;adroit
adult;1;adulte
aeration;1;aération
Ventilate;1;Ventilez
aerodrome;1;aérodrome
aerodynamics;1;aérodynamique
hovercraft;1;aéroglisseur
Aerospace;1;Aéronautique et espace
Airport;1;Aéroport le plus pratique
aerosol;1;aérosol
busyness;1;affairement
assignment;1;affectation de
affection;1;affection
display;1;afficher
poster;1;affiche
view;1;vue
affidavit;1;déclaration sous serment
affiliation;1;affiliation
Affiliate;1;Société affiliée
refining;1;affinage
refine;1;J’affine ma sélection
affinity;1;affinité
affirmative;1;discrimination positive
affirmation;1;affirmation
affirmative;1;discrimination positive
assert;1;faire valoir
affix;1;affixe
tributary;1;affluent
Charter;1;Charte
agate;1;Agate
Agency;1;Agence
Agent;1;Agent de
stockbroker;1;courtier en valeurs mobilières
agglomeration;1;agglomération
Agile;1;Agile
agility;1;agilité
Act;1;Loi sur les
actions;1;actions
Lamb;1;Agneau
staple;1;Staple
agricultural;1;agricole
Agriculture;1;Agriculture
help;1;Aide
help;1;Aide
Eagle;1;Eagle
acute marine;1;aiguë marine
refer;1;se référer
spur;1;épi
Wing;1;Aile
go;1;aller
fin;1;fin
friendly;1;amicale
magnet;1;aimant
airbag;1;coussin gonflable
area;1;zone
playground;1;aire de jeux
ease;1;facilité
easy;1;facile
adding;1;ajout de
Add;1;Ajouter
adjustment;1;réglage
adjust;1;ajuster
adjustment;1;réglage
Alabaster;1;Albâtre
album;1;album
alkali;1;alcali
alkaloid;1;alcaloïde
Alchemy;1;Alchimie
alcove;1;alcôve
alert;1;alerte
algebra;1;algèbre
algebraic;1;algébrique
algorithm;1;algorithme de
alibi;1;alibi
align;1;aligner
alignment;1;alignement
food;1;alimentaire
food;1;alimentaire
power;1;puissance
feed;1;aliments pour animaux
paragraph;1;paragraphe
aliquot;1;aliquote
breastfeeding;1;allaitement maternel
breastfeed;1;allaiter
entice;1;inciter les
tantalizing;1;alléchant
go;1;aller
allegiance;1;allégeance
allegory;1;Allégorie
allegorical;1;allégorique
joy;1;joie
Allegro;1;Allegro
German;1;Allemand
fetch;1;Fetch
alloy;1;en alliage
Alliance;1;Alliance
combine;1;moissonneuse-batteuse
beneficiary;1;bénéficiaire
allocation;1;allocation
speech;1;discours
elongation;1;élongation
allocate;1;allouer
ignition;1;allumage
match;1;match de football
alluvial;1;alluviales
Almanac;1;Almanach
Aloha;1;Aloha
Alouette;1;Alouette
alphabet;1;alphabet
alphabetical;1;alphabétique
Mountaineer;1;Alpiniste
alternative;1;solution de rechange
alternate;1;rechange
altitude;1;altitude
Alto;1;Alto
alveolar;1;alvéolaire
coax;1;câble coaxial
almond;1;amande
lover;1;amant
mooring;1;amarrage
Moor;1;Moor
raise;1;soulever
Embassy;1;Ambassade
Ambassador;1;Ambassadeur
atmosphere;1;atmosphère
ambient;1;ambiante
ambition;1;ambition
Amber;1;Ambre
ambrer;1;Martine
s soul? ur;1;âme de s ? votre
improving;1;amélioration de la
improve;1;améliorer
Amen;1;Amen
development;1;développement
landscaping;1;aménagement paysager
Amendment;1;Amendement
amend;1;modifier
amenity;1;agrément
Amethyst;1;Améthyste
friendly;1;amicale
Admiral;1;Amiral
Admiralty;1;Amirauté
friendship;1;amitié
Amnesty;1;Amnesty
boot;1;botte
Primer;1;Apprêt
begin;1;commencer
love;1;amour
In love;1;Amoureux
amphibious;1;amphibie
amphitheatre;1;amphithéâtre
ample;1;un grand
scale;1;échelle
amplification;1;amplification
amplify;1;amplifier
amplitude;1;amplitude
amulet;1;Amulette
fun;1;amusement
fun;1;amusement
fun face;1;visage du plaisir
fun;1;amusement
year;1;année
analogy;1;analogie
analog;1;analogiques
analogue;1;analogique
analyze;1;analyser
Analyzer;1;Analyseur de
Analyst;1;Analyste
Analytics;1;Analytique
Pineapple;1;Ananas
Anatomy;1;Anatomie
anatomical;1;anatomiques
ancestral;1;ancestral
ancestor;1;ancêtre
veteran;1;ancien combattant
seniority;1;ancienneté
anchor;1;ancre
anchor;1;ancre
Anemone;1;Anémone
Donkey;1;Âne
Angel;1;Ange
Angelique;1;Angelique
angiography;1;angiographie
angle;1;angle
angular;1;angulaire
anhydrous;1;anhydre
animate;1;animer
Annals;1;Annales
ring;1;bague
year;1;année
Annex;1;L’annexe
Annex;1;L’annexe
annexation;1;annexion
birthday;1;anniversaire
announcement;1;annonce
announce;1;annoncer
annotation;1;annotation
annotate;1;annoter
Directory;1;Annuaire
ring finger;1;annulaire
Cove;1;Cove
history;1;histoire
antenna;1;antenne
previously;1;précédemment
Anthology;1;Anthologie
Anthropology;1;Anthropologie
antibiotic;1;antibiotique
anticipation;1;anticipation
anticipate;1;anticiper les
antidote;1;antidote
antifungal;1;antifongique
Antelope;1;Antilope
antique dealer;1;antiquaire
antique;1;antique
antiseptic;1;antiseptique
antiviral;1;antiviral
August;1;Août
